"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","ESM STAGE 
"
77,"LAGNAM","Lagnam Spintex Limited","INE548Z01017","ESM - I (34)"
78,"LATTEYS","Latteys Industries Limited","INE262Z01023","ESM - I (34)"
79,"LCCINFOTEC","Lcc Infotech Limited","INE938A01021","ESM II & GSM 0 (37)"
80,"LGBFORGE","Lgb Forge Limited","INE201J01017","ESM - I (34)"
81,"LORDSCHLO","Lords Chloro Alkali Limited","INE846D01012","ESM - II (35)"
82,"LPDC","Landmark Property Development Company Limited","INE197J01017","ESM - I (34)"
83,"MADHUCON","Madhucon Projects Limited","INE378D01032","ESM - II (35)"
84,"MAHEPC","Mahindra Epc Irrigation Limited","INE215D01010","ESM - I (34)"
85,"MANAKCOAT","Manaksia Coated Metals & Industries Limited","INE830Q01018","ESM - II (35)"
86,"MARSHALL","Marshall Machines Limited","INE00SZ01018","ESM - II (35)"
87,"MEDICO","Medico Remedies Limited","INE630Y01024","ESM - I (34)"
88,"MEP","Mep Infrastructure Developers Limited","INE776I01010","ESM II & GSM 0 (37)"
89,"MGEL","Mangalam Global Enterprise Limited","INE0APB01024","ESM - I (34)"
90,"MKPL","M K Proteins Limited","INE964W01021","ESM - I (34)"
91,"MODTHREAD","Modern Threads (India) Limited","INE794W01014","ESM - I (34)"
92,"MOHITIND","Mohit Industries Limited","INE954E01012","ESM - I (34)"
93,"MRO-TEK","Mro-Tek Realty Limited","INE398B01018","ESM - I (34)"
94,"NAGREEKCAP","Nagreeka Capital & Infrastructure Limited","INE245I01016","ESM - I (34)"
95,"NARMADA","Narmada Agrobase Limited","INE117Z01011","ESM - II (35)"
96,"NDGL","Naga Dhunseri Group Limited","INE756C01015","ESM - I (34)"
97,"NILASPACES","Nila Spaces Limited","INE00S901012","ESM - II (35)"
98,"NITIRAJ","Nitiraj Engineers Limited","INE439T01012","ESM - II (35)"
99,"NOIDATOLL","Noida Toll Bridge Company Limited","INE781B01015","ESM - I (34)"
100,"OCCL","Oriental Carbon & Chemicals Limited","INE321D01016","ESM - I (34)"
101,"OILCOUNTUB","Oil Country Tubular Limited","INE591A01010","ESM - I (34)"
102,"OMAXAUTO","Omax Autos Limited","INE090B01011","ESM - II (35)"
103,"ONELIFECAP","Onelife Capital Advisors Limited","INE912L01015","ESM - II (35)"
104,"OSIAHYPER","Osia Hyper Retail Limited","INE06IR01021","ESM - II (35)"
105,"PALREDTEC","Palred Technologies Limited","INE218G01033","ESM - II (35)"
106,"PANACHE","Panache Digilife Limited","INE895W01019","ESM - II (35)"
107,"PARASPETRO","Paras Petrofils Limited","INE162C01024","ESM - II (35)"
108,"PEARLPOLY","Pearl Polymers Limited","INE844A01013","ESM - I (34)"
109,"PIGL","Power & Instrumentation (Gujarat) Limited","INE557Z01018","ESM - II (35)"
110,"PKTEA","The Peria Karamalai Tea & Produce Company Limited","INE431F01018","ESM - I (34)"
111,"PRAKASHSTL","Prakash Steelage Limited","INE696K01024","ESM - I (34)"
112,"PRAXIS","Praxis Home Retail Limited","INE546Y01022","ESM II & GSM 0 (37)"
113,"RAJTV","Raj Television Network Limited","INE952H01027","ESM - I (34)"
114,"RBZJEWEL","Rbz Jewellers Limited","INE0PEQ01016","ESM - I (34)"
115,"REGENCERAM","Regency Ceramics Limited","INE277C01012","ESM II & GSM 0 (37)"
116,"RHFL","Reliance Home Finance Limited","INE217K01011","ESM II & GSM 0 (37)"
117,"RKEC","Rkec Projects Limited","INE786W01010","ESM - I (34)"
118,"ROLLT","Rollatainers Limited","INE927A01040","ESM I & GSM 0 (36)"
119,"ROML","Raj Oil Mills Limited","INE294G01026","ESM - I (34)"
120,"S&SPOWER","S&S Power Switchgears Limited","INE902B01017","ESM II & GSM 0 (37)"
121,"SABEVENTS","Sab Events & Governance Now Media Limited","INE860T01019","ESM - II (35)"
122,"SABTNL","Sri Adhikari Brothers Television Network Limited","INE416A01044","ESM - II (35)"
123,"SALSTEEL","S.A.L. Steel Limited","INE658G01014","ESM - II (35)"
124,"SAMPANN","Sampann Utpadan India Limited","INE735M01018","ESM - I (34)"
125,"SECURCRED","Secur Credentials Limited","INE195Y01010","ESM - I (34)"
126,"SEMAC","Semac Consultants Limited","INE617A01013","ESM - I (34)"
127,"SETCO","Setco Automotive Limited","INE878E01021","ESM - II (35)"
128,"SHANTI","Shanti Overseas (India) Limited","INE933X01016","ESM - I (34)"
129,"SHRADHA","Shradha Infraprojects Limited","INE715Y01023","ESM - II (35)"
130,"SHREERAMA","Shree Rama Multi-Tech Limited","INE879A01019","ESM - II (35)"
131,"SHYAMTEL","Shyam Telecom Limited","INE635A01023","ESM II & GSM 0 (37)"
132,"SIKKO","Sikko Industries Limited","INE112X01017","ESM - I (34)"
133,"SMARTLINK","Smartlink Holdings Limited","INE178C01020","ESM - II (35)"
134,"SOMATEX","Soma Textiles & Industries Limited","INE314C01013","ESM - I (34)"
135,"SOMICONVEY","Somi Conveyor Beltings Limited","INE323J01019","ESM - I (34)"
136,"SPYL","Shekhawati Poly-Yarn Limited","INE268L01020","ESM - II (35)"
137,"SRPL","Shree Ram Proteins Limited","INE008Z01020","ESM - II (35)"
138,"SUMIT","Sumit Woods Limited","INE748Z01013","ESM - II (35)"
139,"SUPREMEENG","Supreme Engineering Limited","INE319Z01021","ESM II & GSM 0 (37)"
140,"SUPREMEINF","Supreme Infrastructure India Limited","INE550H01011","ESM - II (35)"
141,"SURANAT&P","Surana Telecom And Power Limited","INE130B01031","ESM - I (34)"
142,"SUULD","Suumaya Industries Limited","INE591Q01016","ESM - I (34)"
143,"TAINWALCHM","Tainwala Chemical And Plastic (I) Limited","INE123C01018","ESM - I (34)"
144,"TARAPUR","Tarapur Transformers Limited","INE747K01017","ESM II & GSM 0 (37)"
145,"TARMAT","Tarmat Limited","INE924H01018","ESM - I (34)"
146,"TCIFINANCE","Tci Finance Limited","INE911B01018","ESM II & GSM 0 (37)"
147,"TECHIN","Techindia Nirman Limited","INE778A01021","ESM - I (34)"
148,"TERASOFT","Tera Software Limited","INE482B01010","ESM - I (34)"
149,"TFL","Transwarranty Finance Limited","INE804H01012","ESM - II (35)"
150,"THOMASCOTT","Thomas Scott (India) Limited","INE480M01011","ESM - II (35)"
151,"TIJARIA","Tijaria Polypipes Limited","INE440L01017","ESM I & GSM 0 (36)"
152,"TIL","Til Limited","INE806C01018","ESM - II (35)"
153,"TIRUPATIFL","Tirupati Forge Limited","INE319Y01024","ESM - II (35)"
154,"TNTELE","Tamilnadu Telecommunication Limited","INE141D01018","ESM - II (35)"
155,"TPHQ","Teamo Productions Hq Limited","INE065J01024","ESM - I (34)"
156,"TREJHARA","Trejhara Solutions Limited","INE00CA01015","ESM - II (35)"
157,"TRF","Trf Limited","INE391D01019","ESM - II (35)"
158,"TRIGYN","Trigyn Technologies Limited","INE948A01012","ESM - I (34)"
159,"TVVISION","Tv Vision Limited","INE871L01013","ESM - II (35)"
160,"UMESLTD","Usha Martin Education & Solutions Limited","INE240C01028","ESM I & GSM 0 (36)"
161,"UNIVASTU","Univastu India Limited","INE562X01013","ESM - I (34)"
162,"USK","Udayshivakumar Infra Limited","INE0N0Y01013","ESM - I (34)"
163,"VIJIFIN","Viji Finance Limited","INE159N01027","ESM - II (35)"
164,"VIPCLOTHNG","Vip Clothing Limited","INE450G01024","ESM - I (34)"
165,"VIVIDHA","Visagar Polytex Limited","INE370E01029","ESM II & GSM 0 (37)"
166,"VSTL","Vibhor Steel Tubes Limited","INE0QTF01015","ESM - I (34)"
167,"WEIZMANIND","Weizmann Limited","INE080A01014","ESM - I (34)"
168,"WEWIN","We Win Limited","INE082W01014","ESM - II (35)"
169,"ZEELEARN","Zee Learn Limited","INE565L01011","ESM - II (35)"
170,"ZENITHEXPO","Zenith Exports Limited","INE058B01018","ESM - II (35)"
171,"ZENITHSTL","Zenith Steel Pipes & Industries Limited","INE318D01020","ESM - I (34)"
172,"ZODIAC","Zodiac Energy Limited","INE761Y01019","ESM - II (35)"
173,"ZODIACLOTH","Zodiac Clothing Company Limited","INE206B01013","ESM - I (34)"
