"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 15-Jul-2024","1W AGO 
 10-Jul-2024","1M AGO 
 14-Jun-2024","1Y AGO 
 17-Jul-2023","52W H 
","52W L 
","365 D % CHNG 
 17-Jul-2023","30 D % CHNG 
 14-Jun-2024"
"NIFTY CONSUMER DURABLES","38,709.50","0.15","38,729.85","38,926.10","38,626.10","-","38,651.90","38,651.90","38,568.25","37,978.95","27,239.35","38,951.00","14,089.55","42.11","1.92"
"NIFTY OIL & GAS","13,090.45","-0.16","13,123.65","13,194.45","13,072.60","-","13,111.60","13,111.60","12,640.90","12,095.25","7,984.65","13,194.45","4,632.70","63.95","8.23"
"NIFTY MIDSMALL HEALTHCARE","37,411.10","0.22","37,434.65","37,488.60","37,273.00","-","37,328.35","37,328.35","36,950.70","36,052.75","-","37,488.60","20,019.15","-","3.77"
"NIFTY DIVIDEND OPPORTUNITIES 50","6,630.90","0.16","6,637.05","6,659.25","6,622.90","-","6,620.45","6,620.45","6,439.30","6,219.60","4,408.00","6,659.25","4,349.90","50.43","6.61"
"NIFTY GROWTH SECTORS 15","11,806.95","0.59","11,757.40","11,825.70","11,716.45","-","11,737.60","11,737.60","11,468.10","11,089.55","9,810.25","11,825.70","9,566.40","20.35","6.47"
"NIFTY100 QUALITY 30","5,923.70","0.46","5,905.20","5,942.85","5,894.95","-","5,896.75","5,896.75","5,832.05","5,642.10","4,403.75","-","-","34.51","4.99"
"NIFTY50 VALUE 20","13,788.50","0.36","13,763.60","13,819.55","13,737.05","-","13,739.65","13,739.65","13,417.35","12,724.20","10,195.25","13,819.55","9,925.20","35.24","8.36"
"NIFTY50 TR 2X LEVERAGE","21,036.75","0.21","21,041.75","21,118.80","20,994.60","-","20,992.10","20,992.10","20,563.05","19,198.70","14,306.20","21,118.80","12,898.20","47.05","9.57"
"NIFTY50 PR 2X LEVERAGE","14,529.25","0.20","14,532.70","14,585.90","14,500.10","-","14,500.75","14,500.75","14,206.50","13,287.35","10,125.85","14,585.90","9,059.10","43.49","9.35"
"NIFTY50 TR 1X INVERSE","165.45","-0.09","165.40","165.60","165.10","-","165.60","165.60","167.25","172.75","198.75","210.55","165.10","-16.75","-4.23"
"NIFTY50 PR 1X INVERSE","198.85","-0.10","198.85","199.05","198.50","-","199.05","199.05","201.00","207.45","236.00","250.95","198.50","-15.74","-4.15"
"NIFTY50 DIVIDEND POINTS","133.04","1.53","133.04","133.04","133.04","-","131.03","131.03","129.17","108.12","93.04","-","-","42.99","23.05"
"NIFTY ALPHA 50","59,564.65","-0.41","60,022.45","60,145.50","59,357.30","-","59,811.95","59,811.95","59,007.75","56,238.65","32,671.10","-","-","82.32","5.91"
"NIFTY50 EQUAL WEIGHT","31,226.00","0.23","31,201.75","31,279.85","31,173.25","-","31,153.65","31,153.65","30,757.25","29,999.05","22,903.85","-","-","36.34","4.09"
"NIFTY100 EQUAL WEIGHT","33,705.65","-0.04","33,803.00","33,837.25","33,669.90","-","33,718.70","33,718.70","33,381.85","32,546.10","22,593.20","-","-","49.18","3.56"
"NIFTY100 LOW VOLATILITY 30","19,792.85","0.17","19,783.25","19,849.60","19,747.65","-","19,760.10","19,760.10","19,564.45","18,891.05","14,867.60","-","-","33.13","4.77"
"NIFTY200 QUALITY 30","21,875.20","0.42","21,816.85","21,962.55","21,779.10","-","21,784.65","21,784.65","21,446.15","20,602.40","16,066.75","-","-","36.15","6.18"
"NIFTY ALPHA LOW-VOLATILITY 30","29,164.95","0.03","29,210.80","29,243.65","29,135.55","-","29,155.55","29,155.55","28,987.30","28,031.50","19,349.85","-","-","50.72","4.04"
"NIFTY200 MOMENTUM 30","36,409.45","-0.42","36,711.40","36,750.95","36,364.70","-","36,561.40","36,561.40","36,450.60","36,250.15","21,500.80","-","-","69.34","0.44"
"NIFTY MIDCAP150 QUALITY 50","24,985.65","-0.04","25,072.80","25,134.55","24,957.95","-","24,996.20","24,996.20","24,915.65","24,370.30","17,746.00","-","-","40.80","2.52"
"NIFTY200 ALPHA 30","28,671.65","-0.54","28,954.80","28,976.35","28,640.45","-","28,828.60","28,828.60","28,578.80","27,586.95","-","-","-","-","3.93"
"NIFTY MIDCAP150 MOMENTUM 50","65,675.65","-0.20","66,044.50","66,147.15","65,571.20","-","65,809.20","65,809.20","64,957.15","63,608.90","-","-","-","-","3.25"
"NIFTY COMMODITIES","9,455.45","-0.02","9,487.75","9,535.30","9,444.00","-","9,457.25","9,457.25","9,347.95","9,201.00","6,161.20","9,535.30","6,098.95","53.47","2.77"
"NIFTY INDIA CONSUMPTION","11,475.80","0.44","11,463.00","11,510.60","11,430.95","-","11,425.20","11,425.20","11,330.00","11,221.90","8,439.00","11,510.60","8,141.50","35.99","2.26"
"NIFTY CPSE","7,386.80","-0.45","7,433.15","7,488.15","7,375.60","-","7,420.10","7,420.10","7,215.55","6,774.85","3,254.40","7,488.15","3,280.85","126.98","9.03"
"NIFTY ENERGY","43,204.30","-0.23","43,320.05","43,656.55","43,144.85","-","43,303.00","43,303.00","42,675.45","41,040.00","25,521.40","43,656.55","25,623.75","69.29","5.27"
"NIFTY INFRASTRUCTURE","9,330.80","-0.14","9,365.55","9,386.65","9,314.65","-","9,343.70","9,343.70","9,278.05","9,028.70","5,870.00","9,386.65","5,916.85","58.96","3.35"
"NIFTY100 LIQUID 15","6,978.25","0.09","6,985.00","7,005.95","6,963.30","-","6,971.70","6,971.70","6,908.00","6,814.50","5,176.60","7,005.95","5,035.50","34.80","2.40"
"NIFTY MIDCAP LIQUID 15","13,465.75","-0.01","13,511.75","13,532.10","13,449.55","-","13,466.45","13,466.45","13,192.50","12,455.50","8,642.40","13,532.10","8,657.45","55.81","8.11"
"NIFTY MNC","31,138.90","0.30","31,166.25","31,267.90","31,098.25","-","31,047.20","31,047.20","31,089.65","30,670.65","22,197.85","31,322.90","21,432.25","40.28","1.53"
"NIFTY PSE","11,445.55","-0.60","11,532.95","11,592.20","11,430.05","-","11,514.35","11,514.35","11,285.70","10,804.90","5,137.45","11,592.20","5,179.10","122.79","5.93"
"NIFTY SERVICES SECTOR","31,125.00","0.03","31,162.35","31,208.95","31,095.00","-","31,116.70","31,116.70","30,670.95","29,272.05","25,342.75","31,208.95","23,940.65","22.82","6.33"
"NIFTY100 ESG SECTOR LEADERS","4,090.55","0.03","4,096.40","4,101.80","4,086.50","-","4,089.15","4,089.15","4,053.65","3,908.15","3,133.30","-","-","30.55","4.67"
"NIFTY INDIA DIGITAL","8,776.40","-0.21","8,843.60","8,851.80","8,760.80","-","8,795.20","8,795.20","8,519.15","8,050.30","6,110.20","8,856.20","4,755.25","43.64","9.02"
"NIFTY100 ESG","4,904.35","0.15","4,907.85","4,914.65","4,899.65","-","4,897.20","4,897.20","4,838.70","4,674.15","3,694.90","-","-","32.73","4.92"
"NIFTY INDIA MANUFACTURING","14,886.70","-0.25","14,965.70","14,983.45","14,871.35","-","14,923.55","14,923.55","14,912.40","14,683.35","9,414.70","-","-","58.12","1.38"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","17,080.55","0.05","17,100.45","17,181.95","17,049.35","-","17,071.75","17,071.75","16,720.80","16,837.55","-","17,181.95","9,887.45","-","1.44"
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","15,339.15","-0.10","15,394.70","15,423.85","15,318.60","-","15,354.25","15,354.25","15,282.30","14,931.75","-","15,489.25","8,394.35","-","2.73"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","14,768.05","0.03","14,815.45","14,843.80","14,738.30","-","14,763.05","14,763.05","14,729.15","14,231.85","-","14,843.80","8,010.10","-","3.77"
"NIFTY 8-13 YR G-SEC","2,648.01","0.09","2,645.90","2,648.58","2,645.90","-","2,645.40","2,644.55","2,643.41","2,628.07","2,461.59","-","-","7.57","0.76"
"NIFTY 10 YR BENCHMARK G-SEC","2,345.81","0.08","2,344.28","2,346.50","2,344.28","-","2,343.83","2,342.97","2,342.14","2,329.82","2,182.57","-","-","7.48","0.69"
"NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)","880.11","0.06","879.53","880.38","879.53","-","879.53","879.20","879.74","879.50","878.52","-","-","0.18","0.07"
"NIFTY 4-8 YR G-SEC INDEX","2,871.11","0.10","2,868.78","2,871.20","2,868.78","-","2,868.22","2,867.94","2,863.58","2,845.57","2,665.32","-","-","7.72","0.90"
"NIFTY 11-15 YR G-SEC INDEX","2,934.62","0.12","2,931.61","2,934.86","2,931.61","-","2,931.04","2,930.70","2,928.85","2,910.86","2,698.04","-","-","8.77","0.82"
"NIFTY 15 YR AND ABOVE G-SEC INDEX","3,253.68","0.12","3,250.37","3,253.68","3,250.37","-","3,249.74","3,249.24","3,249.17","3,221.68","2,931.81","-","-","10.98","0.99"
"NIFTY COMPOSITE G-SEC INDEX","2,745.60","0.10","2,743.37","2,745.95","2,743.37","-","2,742.84","2,742.24","2,740.61","2,722.69","2,535.65","-","-","8.28","0.84"
