"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","ASM STAGE 
"
"Long Term",,,,
76,"KBCGLOBAL","KBC Global Limited","INE278R01034","LTASM - I (13)"
77,"KICL","Kalyani Investment Company Limited","INE029L01018","LTASM - I (13)"
78,"KIRLOSBROS","Kirloskar Brothers Limited","INE732A01036","LTASM - I (13)"
79,"KIRLOSENG","Kirloskar Oil Engines Limited","INE146L01010","LTASM - I (13)"
80,"KIRLPNU","Kirloskar Pneumatic Company Limited","INE811A01020","LTASM - I (13)"
81,"KODYTECH","Kody Technolab Limited","INE0Q7P01013","LTASM - I (13)"
82,"KORE","Jay Jalaram Technologies Limited","INE0J6801010","LTASM - II (14)"
83,"KPIGREEN","KPI Green Energy Limited","INE542W01025","LTASM - I (13)"
84,"KRITIKA","Kritika Wires Limited","INE00Z501029","LTASM - I (13)"
85,"LEMERITE","Le Merite Exports Limited","INE0G1L01017","LTASM - I (13)"
86,"LEXUS","Lexus Granito (India) Limited","INE500X01013","LTASM - I (13)"
87,"LGHL","Laxmi Goldorna House Limited","INE258Y01016","LTASM - I (13)"
88,"LLOYDS","Lloyds Luxuries Limited","INE0DTQ01028","LTASM - I (13)"
89,"LYPSAGEMS","Lypsa Gems & Jewellery Limited","INE142K01011","LTASM - I (13)"
90,"MACPOWER","Macpower CNC Machines Limited","INE155Z01011","LTASM - IV (16)"
91,"MAKS","Maks Energy Solutions India Limited","INE0CDK01019","LTASM - I (13)"
92,"MANINDS","Man Industries (India) Limited","INE993A01026","LTASM - I (13)"
93,"MARINE","Marine Electricals (India) Limited","INE01JE01028","LTASM - I (13)"
94,"MAXIND","Max India Limited","INE0CG601016","LTASM - I (13)"
95,"MCL","Madhav Copper Limited","INE813V01022","LTASM - I (13)"
96,"MEGASTAR","Megastar Foods Limited","INE00EM01016","LTASM - I (13)"
97,"MICEL","MIC Electronics Limited","INE287C01037","LTASM - IV (16)"
98,"MINDTECK","Mindteck (India) Limited","INE110B01017","LTASM - I (13)"
99,"MOTILALOFS","Motilal Oswal Financial Services Limited","INE338I01027","LTASM - I (13)"
100,"MOTOGENFIN","The Motor & General Finance Limited","INE861B01023","LTASM - I (13)"
101,"MOXSH","Moxsh Overseas Educon Limited","INE0N6D01014","LTASM - I (13)"
102,"MSPL","MSP Steel & Power Limited","INE752G01015","LTASM - I (13)"
103,"NEWGEN","Newgen Software Technologies Limited","INE619B01017","LTASM - I (13)"
104,"NITCO","Nitco Limited","INE858F01012","LTASM - I (13)"
105,"NKIND","NK Industries Limited","INE542C01019","LTASM - I (13)"
106,"OBCL","Orissa Bengal Carrier Limited","INE426Z01016","LTASM - I (13)"
107,"OMINFRAL","OM INFRA LIMITED","INE239D01028","LTASM - IV (16)"
108,"ORIENTALTL","Oriental Trimex Limited","INE998H01012","LTASM - I (13)"
109,"OWAIS","Owais Metal And Mineral Processing Limited","INE0R8M01017","LTASM - I (13)"
110,"PARAS","Paras Defence and Space Technologies Limited","INE045601015","LTASM - I (13)"
111,"PDMJEPAPER","Pudumjee Paper Products Limited","INE865T01018","LTASM - I (13)"
112,"PGEL","PG Electroplast Limited","INE457L01029","LTASM - I (13)"
113,"POWERINDIA","Hitachi Energy India Limited","INE07Y701011","LTASM - I (13)"
114,"PRAENG","Prajay Engineers Syndicate Limited","INE505C01016","LTASM - I (13)"
115,"PREMEXPLN","Premier Explosives Limited","INE863B01029","LTASM - IV (16)"
116,"PURVA","Puravankara Limited","INE323I01011","LTASM - IV (16)"
117,"QUESTLAB","Quest Laboratories Limited","INE0TNW01017","LTASM - I (13)"
118,"RAMANEWS","Shree Rama Newsprint Limited","INE278B01020","LTASM - I (13)"
119,"REMSONSIND","Remsons Industries Limited","INE474C01023","LTASM - I (13)"
120,"RPPINFRA","R.P.P. Infra Projects Limited","INE324L01013","LTASM - I (13)"
121,"RTNPOWER","RattanIndia Power Limited","INE399K01017","LTASM - II (14)"
122,"SCHNEIDER","Schneider Electric Infrastructure Limited","INE839M01018","LTASM - I (13)"
123,"SECL","Salasar Exteriors and Contour Limited","INE00Y701026","LTASM - II (14)"
124,"SENCO","Senco Gold Limited","INE602W01019","LTASM - I (13)"
125,"SHAH","Shah Metacorp Limited","INE482J01021","LTASM - I (13)"
126,"SHAILY","Shaily Engineering Plastics Limited","INE151G01028","LTASM - I (13)"
127,"SHAKTIPUMP","Shakti Pumps (India) Limited","INE908D01010","LTASM - IV (16)"
128,"SHARDAMOTR","Sharda Motor Industries Limited","INE597I01028","LTASM - I (13)"
129,"SHIVAMILLS","Shiva Mills Limited","INE644Y01017","LTASM - I (13)"
130,"SIMPLEXINF","Simplex Infrastructures Limited","INE059B01024","LTASM - I (13)"
131,"SKYGOLD","Sky Gold Limited","INE01IU01018","LTASM - IV (16)"
132,"SOBHA","Sobha Limited","INE671H01015","LTASM - I (13)"
133,"SOFTTECH","Softtech Engineers Limited","INE728Z01015","LTASM - I (13)"
134,"SOLARINDS","Solar Industries India Limited","INE343H01029","LTASM - I (13)"
135,"SPECTRUM","Spectrum Electrical Industries Limited","INE01EO01010","LTASM - I (13)"
136,"SPMLINFRA","SPML Infra Limited","INE937A01023","LTASM - II (14)"
137,"STEL","Stel Holdings Limited","INE577L01016","LTASM - I (13)"
138,"SUNDARAM","Sundaram Multi Pap Limited","INE108E01023","LTASM - I (13)"
139,"SUPERSPIN","Super Spinning Mills Limited","INE662A01027","LTASM - I (13)"
140,"SUZLON","Suzlon Energy Limited","INE040H01021","LTASM - I (13)"
