"CATEGORY 
","DATE 
","BUY VALUE 
(₹ Crores)","SELL VALUE 
(₹ Crores)","NET VALUE 
(₹ Crores)"
"DII **","16-Jul-2024","14,935.86","15,465.34","-529.48"
"FII/FPI *","16-Jul-2024","14,482.47","13,211.02","1,271.45"
